sat year month day UT_h UT_m UT_s RA_h RA_m RA_s RA_SEM DEC_deg DEC_arcm DEC_arcs DEC_SEM epoch ref_catalog Obs_code
u4 2007 12 20 15 45 0.00216 23 5 45.6186 0.028 -6.6237028 37  25.33 0.036 J2000 UCAC4 84
u3 2007 9 30 20 53 0.26899 23 8 54.4914 0.035 -6.362105 21  43.578 0.041 J2000 UCAC4 84
u4 2007 9 30 20 53 0.26899 23 8 53.418 0.033 -6.34664 20  47.904 0.024 J2000 UCAC4 84
u3 2007 9 30 21 4 0.93511 23 8 54.42183 0.018 -6.3622116 21  43.96167 0.052 J2000 UCAC4 84
u4 2007 9 30 21 4 0.93511 23 8 53.34433 0.047 -6.3467093 20  48.15333 0.061 J2000 UCAC4 84
u3 2007 11 4 18 34 0.6225 23 5 19.906 0.007 -6.7176903 43  3.685 0.018 J2000 UCAC4 84
u4 2007 11 24 17 29 0.47066 23 4 41.7068 0.013 -6.7497983 44  59.274 0.031 J2000 UCAC4 84
u2 2008 1 5 14 53 0.60117 23 7 26.1042 0.06 -6.4516061 27  5.782 0.141 J2000 UCAC4 84
u3 2008 1 5 14 53 0.60117 23 7 26.1282 0.029 -6.4527956 27  10.064 0.085 J2000 UCAC4 84
u4 2008 1 5 14 53 0.60117 23 7 25.1716 0.061 -6.4366433 26  11.916 0.027 J2000 UCAC4 84
u4 2008 9 10 22 40 0.11237 23 26 50.9912 0.022 -4.465905 27  57.258 0.04 J2000 UCAC4 84
u3 2008 9 24 22 9 0.60832 23 24 47.0056 0.06 -4.6675067 40  3.024 0.054 J2000 UCAC4 84
u4 2008 9 24 22 9 0.60832 23 24 47.954 0.023 -4.6816122 40  53.804 0.043 J2000 UCAC4 84
u3 2008 9 25 21 46 0.35495 23 24 38.3032 0.02 -4.6793044 40  45.496 0.042 J2000 UCAC4 84
u4 2008 9 25 21 46 0.35495 23 24 39.2598 0.02 -4.6924267 41  32.736 0.031 J2000 UCAC4 84
u3 2008 10 5 21 5 0.78252 23 23 15.7038 0.047 -4.8252778 49  31 0.018 J2000 UCAC4 84
u4 2008 10 5 21 5 0.78252 23 23 16.766 0.038 -4.8413533 50  28.872 0.042 J2000 UCAC4 84
u4 2008 10 7 20 57 0.77045 23 23 1.2218 0.069 -4.8688178 52  7.744 0.09 J2000 UCAC4 84
u2 2008 11 17 18 9 0.67883 23 19 29.2664 0.155 -5.2038328 12  13.798 0.13 J2000 UCAC4 84
u3 2008 11 17 18 9 0.67883 23 19 29.04 0.032 -5.2008039 12  2.894 0.058 J2000 UCAC4 84
u4 2008 11 17 18 9 0.67883 23 19 30.1694 0.044 -5.2174139 13  2.69 0.091 J2000 UCAC4 84
u2 2009 8 16 0 43 0.53358 23 45 29.0012 0.07 -2.4427733 26  33.984 0.112 J2000 UCAC4 84
u4 2009 8 21 0 23 0.66129 23 44 51.8226 0.049 -2.4967406 29  48.266 0.052 J2000 UCAC4 84
u1 2009 8 22 0 17 0.93334 23 44 44.81 0.218 -2.5151078 30  54.388 0.106 J2000 UCAC4 84
u3 2009 8 22 0 17 0.93334 23 44 44.8484 0.029 -2.5115544 30  41.596 0.036 J2000 UCAC4 84
u4 2009 9 2 23 29 0.78809 23 43 7.8994 0.025 -2.6850139 41  6.05 0.049 J2000 UCAC4 84
u2 2009 9 17 22 32 0.23739 23 40 58.526 0.074 -2.9339922 56  2.372 0.17 J2000 UCAC4 84
u3 2009 9 17 22 32 0.23739 23 40 57.7744 0.022 -2.9212811 55  16.612 0.039 J2000 UCAC4 84
u4 2009 9 20 22 20 0.76897 23 40 32.354 0.018 -2.9870667 59  13.44 0.028 J2000 UCAC4 84
u3 2009 9 25 21 51 0.82664 23 39 47.7656 0.024 -3.0480028  2  52.81 0.025 J2000 UCAC4 84
u4 2009 10 6 21 22 0.73882 23 38 15.7394 0.057 -3.2281361 13  41.29 0.056 J2000 UCAC4 84
u1 2009 10 8 21 6 0.38343 23 37 58.6276 0.182 -3.2444828 14  40.138 0.066 J2000 UCAC4 84
u2 2009 10 8 21 6 0.38343 23 37 59.1928 0.102 -3.2527811 15  10.012 0.058 J2000 UCAC4 84
u3 2009 10 8 21 6 0.38343 23 37 59.1726 0.034 -3.2542322 15  15.236 0.032 J2000 UCAC4 84
u3 2009 10 30 19 41 0.95125 23 35 26.8302 0.063 -3.5025811 30  9.292 0.09 J2000 UCAC4 84
u4 2009 10 30 19 41 0.95125 23 35 27.573 0.054 -3.5180233 31  4.884 0.061 J2000 UCAC4 84
u3 2009 10 9 21 4 0.65448 23 37 51.4738 0.072 -3.2700183 16  12.066 0.079 J2000 UCAC4 84
u2 2009 10 31 19 30 0.59206 23 35 21.4146 0.16 -3.51374 30  49.464 0.1 J2000 UCAC4 84
u3 2009 10 31 19 30 0.59206 23 35 21.1754 0.035 -3.5105356 30  37.928 0.017 J2000 UCAC4 84
u4 2009 10 31 19 30 0.59206 23 35 22.395 0.032 -3.5295411 31  46.348 0.045 J2000 UCAC4 84
u3 2009 11 3 19 18 0.52431 23 35 6.4354 0.034 -3.5504372 33  1.574 0.038 J2000 UCAC4 84
u4 2009 11 3 19 18 0.52431 23 35 6.743 0.038 -3.5494217 32  57.918 0.053 J2000 UCAC4 84
u3 2009 11 5 19 14 0.06502 23 34 57.1446 0.039 -3.5675294 34  3.106 0.05 J2000 UCAC4 84
u4 2009 11 5 19 14 0.06502 23 34 56.4616 0.071 -3.5554772 33  19.718 0.07 J2000 UCAC4 84
u4 2009 12 16 16 32 0.56306 23 34 12.8198 0.045 -3.6024022 36  8.648 0.098 J2000 UCAC4 84
u3 2009 12 17 16 26 0.43018 23 34 16.2864 0.03 -3.6105178 36  37.864 0.047 J2000 UCAC4 84
u4 2009 12 17 16 26 0.43018 23 34 15.3752 0.062 -3.5938228 35  37.762 0.076 J2000 UCAC4 84
u1 2009 12 19 16 18 0.7858 23 34 22.4152 0.116 -3.5945633 35  40.428 0.189 J2000 UCAC4 84
u3 2009 12 19 16 18 0.7858 23 34 22.6544 0.009 -3.5963372 35  46.814 0.086 J2000 UCAC4 84
u4 2009 12 19 16 18 0.7858 23 34 21.446 0.023 -3.5821294 34  55.666 0.027 J2000 UCAC4 84
u4 2010 8 17 0 53 0.57205 0 0 20.6856 0.048 -0.8026456 48  9.524 0.054 J2000 UCAC4 84
u2 2010 8 20 0 42 0.92122 0 0 1.2788 0.052 -0.8560083 51  21.63 0.097 J2000 UCAC4 84
u3 2010 8 20 0 42 0.92122 0 0 1.614 0.016 -0.8577606 51  27.938 0.019 J2000 UCAC4 84
u4 2010 8 20 0 42 0.92122 0 0 0.0586 0.026 -0.8457728 50  44.782 0.044 J2000 UCAC4 84
u1 2010 9 9 23 13 0.35856 23 57 16.1418 0.112 -1.1571167  9  25.62 0.035 J2000 UCAC4 84
u2 2010 9 9 23 13 0.35856 23 57 16.4184 0.036 -1.158425  9  30.33 0.162 J2000 UCAC4 84
u3 2010 9 9 23 13 0.35856 23 57 15.4508 0.025 -1.1453761  8  43.354 0.028 J2000 UCAC4 84
u3 2010 10 6 21 30 0.5608 23 53 20.1682 0.054 -1.56933 34  9.588 0.042 J2000 UCAC4 84
u2 2010 10 10 21 15 0.20014 23 52 47.2882 0.278 -1.6301594 37  48.574 0.231 J2000 UCAC4 84
u3 2010 10 10 21 15 0.20014 23 52 48.2904 0.014 -1.6429689 38  34.688 0.049 J2000 UCAC4 84
u4 2010 10 10 21 15 0.20014 23 52 46.8638 0.016 -1.62396 37  26.256 0.078 J2000 UCAC4 84
u4 2010 10 10 21 15 0.20014 23 52 46.8638 0.016 -1.62396 37  26.256 0.078 J2000 UCAC4 84
u4 2010 1 1 15 39 0.32564 23 35 19.6272 0.087 -3.4677783 28  4.002 0.072 J2000 UCAC4 84
u2 2010 10 18 20 42 0.78489 23 51 44.6162 0.164 -1.7405639 44  26.03 0.1 J2000 UCAC4 84
u3 2010 10 18 20 42 0.78489 23 51 45.3398 0.033 -1.7537022 45  13.328 0.042 J2000 UCAC4 84
u4 2010 10 18 20 42 0.78489 23 51 45.7276 0.044 -1.7538928 45  14.014 0.043 J2000 UCAC4 84
u3 2011 10 9 21 28 0.81483 0 8 1.4078 0.03 0.025535  1  31.926 0.024 J2000 UCAC4 84
u4 2011 10 9 21 28 0.81483 0 8 0.5146 0.016 0.0416256  2  29.852 0.023 J2000 UCAC4 84
u3 2011 10 5 21 42 0.50209 0 8 35.6114 0.033 0.0995561  5  58.402 0.03 J2000 UCAC4 84
u2 2011 9 4 23 50 0.64023 0 13 3.588 0.067 0.5703644 34  13.312 0.082 J2000 UCAC4 84
u3 2011 9 4 23 50 0.64023 0 13 3.288 0.024 0.5698983 34  11.634 0.049 J2000 UCAC4 84
u4 2011 9 4 23 50 0.64023 0 13 3.9488 0.01 0.5642278 33  51.22 0.008 J2000 UCAC4 84
u3 2011 9 5 23 44 0.02755 0 12 55.7716 0.027 0.5523306 33  8.39 0.017 J2000 UCAC4 84
u4 2011 9 5 23 44 0.02755 0 12 56.2348 0.022 0.549875 32  59.55 0.028 J2000 UCAC4 84
u3 2011 9 10 23 27 0.17151 0 12 13.3616 0.022 0.4934133 29  36.288 0.031 J2000 UCAC4 84
u4 2011 9 10 23 27 0.17151 0 12 13.8106 0.024 0.4951717 29  42.618 0.035 J2000 UCAC4 84
u3 2011 9 18 22 54 0.17453 0 11 4.9042 0.013 0.3689806 22  8.33 0.046 J2000 UCAC4 84
u4 2011 9 18 22 54 0.17453 0 11 6.0398 0.012 0.3493944 20  57.82 0.023 J2000 UCAC4 84
u4 2011 9 20 22 45 0.75959 0 10 48.77 0.018 0.3228617 19  22.302 0.027 J2000 UCAC4 84
u2 2011 9 25 22 27 0.14393 0 10 3.9668 0.05 0.2443856 14  39.788 0.071 J2000 UCAC4 84
u4 2011 9 25 22 27 0.14393 0 10 2.8106 0.012 0.2606783 15  38.442 0.02 J2000 UCAC4 84
u3 2011 9 26 22 19 0.71101 0 9 54.7868 0.032 0.2399261 14  23.734 0.058 J2000 UCAC4 84
u4 2011 9 26 22 19 0.71101 0 9 53.8042 0.034 0.2427472 14  33.89 0.039 J2000 UCAC4 84
u2 2011 9 27 22 13 0.88528 0 9 45.6664 0.204 0.2229761 13  22.714 0.274 J2000 UCAC4 84
u3 2011 9 27 22 13 0.88528 0 9 45.4504 0.066 0.2263717 13  34.938 0.078 J2000 UCAC4 84
u4 2011 9 27 22 13 0.88528 0 9 44.9982 0.082 0.22295 13  22.62 0.095 J2000 UCAC4 84
u4 2011 9 30 22 2 0.68861 0 9 19.6144 0.056 0.16131 9 4 0.716 0.044 J2000 UCAC4 84
u3 2011 10 1 22 1 0.0307 0 9 11.024 0.045 0.1465461 8 4 7.566 0.042 J2000 UCAC4 84
u4 2011 10 1 22 1 0.0307 0 9 11.238 0.054 0.1434939 8 3 6.578 0.04 J2000 UCAC4 84
u3 2011 8 20 1 2 0.06445 0 15 0.6242 0.052 0.7820561 46  55.402 0.025 J2000 UCAC4 84
u4 2011 10 17 20 54 0.88503 0 6 56.4276 0.032 -0.0917233  5  30.204 0.073 J2000 UCAC4 84
u2 2011 10 18 20 52 0.13167 0 6 47.1196 0.078 -0.0945367  5  40.332 0.067 J2000 UCAC4 84
u3 2011 10 18 20 52 0.13167 0 6 47.6412 0.027 -0.106245  6  22.482 0.011 J2000 UCAC4 84
u3 2011 11 10 19 13 0.67092 0 4 13.5984 0.023 -0.3570356 21  25.328 0.053 J2000 UCAC4 84
u4 2011 11 10 19 13 0.67092 0 4 14.5906 0.052 -0.3753183 22  31.146 0.076 J2000 UCAC4 84
u3 2011 11 15 18 55 0.99765 0 3 50.9124 0.024 -0.412005 24  43.218 0.034 J2000 UCAC4 84
u4 2011 11 20 18 40 0.6654 0 3 29.2628 0.039 -0.4334472 26  0.41 0.029 J2000 UCAC4 84
u4 2011 11 29 18 0 0.22873 0 3 4.9774 0.042 -0.4721628 28  19.786 0.052 J2000 UCAC4 84
u3 2011 12 20 16 51 0.79732 0 3 4.1332 0.025 -0.4712061 28  16.342 0.086 J2000 UCAC4 84
u4 2011 12 20 16 51 0.79732 0 3 3.6142 0.015 -0.4737856 28  25.628 0.074 J2000 UCAC4 84
u3 2011 12 28 16 5 0.61818 0 3 25.2508 0.007 -0.4287861 25  43.63 0.032 J2000 UCAC4 84
u4 2011 12 28 16 5 0.61818 0 3 24.0378 0.042 -0.4103367 24  37.212 0.039 J2000 UCAC4 84
u3 2014 8 31 0 50 0.34485 0 58 53.32825 0.056 5.5274819 31  38.935 0.032 J2000 UCAC4 84
u4 2014 8 31 0 50 0.34485 0 58 52.97925 0.04 5.5190319 31  8.515 0.035 J2000 UCAC4 84
u4 2014 9 5 0 29 0.94378 0 58 18.9784 0.023 5.4795039 28  46.214 0.045 J2000 UCAC4 84
u2 2014 9 7 0 24 0.38224 0 58 4.239 0.116 5.4407556 26  26.72 0.157 J2000 UCAC4 84
u3 2014 9 7 0 24 0.38224 0 58 4.6982 0.018 5.4368089 26  12.512 0.035 J2000 UCAC4 84
u4 2014 9 7 0 24 0.38224 0 58 3.431 0.029 5.4562989 27  22.676 0.044 J2000 UCAC4 84
u3 2014 9 8 0 20 0.94837 0 57 57.9594 0.021 5.4260122 25  33.644 0.031 J2000 UCAC4 84
u4 2014 9 8 0 20 0.94837 0 57 55.7112 0.031 5.4408856 26  27.188 0.024 J2000 UCAC4 84
u3 2014 9 9 0 19 0.56779 0 57 50.6342 0.085 5.4182 25  5.52 0.034 J2000 UCAC4 84
u4 2014 9 9 0 19 0.56779 0 57 48.1696 0.085 5.4234444 25  24.4 0.042 J2000 UCAC4 84
u2 2014 9 13 23 53 0.89551 0 57 10.5988 0.114 5.3557661 21  20.758 0.108 J2000 UCAC4 84
u4 2014 9 13 23 53 0.89551 0 57 12.1674 0.017 5.3411483 20  28.134 0.043 J2000 UCAC4 84
u2 2014 9 15 23 50 0.88764 0 56 55.655 0.14 5.3191922 19  9.092 0.281 J2000 UCAC4 84
u3 2014 9 15 23 50 0.88764 0 56 55.715 0.036 5.3152317 18  54.834 0.057 J2000 UCAC4 84
u3 2014 9 16 23 46 0.38523 0 56 48.0402 0.072 5.3041389 18  14.9 0.061 J2000 UCAC4 84
u4 2014 9 16 23 46 0.38523 0 56 48.1894 0.083 5.3117722 18  42.38 0.045 J2000 UCAC4 84
u2 2014 9 17 23 44 0.45519 0 56 38.3012 0.107 5.2995883 17  58.518 0.217 J2000 UCAC4 84
u4 2014 9 17 23 44 0.45519 0 56 39.476 0.055 5.3020506 18  7.382 0.059 J2000 UCAC4 84
u2 2014 9 19 23 36 0.94749 0 56 22.5788 0.049 5.2608639 15  39.11 0.09 J2000 UCAC4 84
u3 2014 9 19 23 36 0.94749 0 56 21.8236 0.026 5.2743167 16  27.54 0.018 J2000 UCAC4 84
u4 2014 9 19 23 36 0.94749 0 56 21.5656 0.017 5.2772517 16  38.106 0.014 J2000 UCAC4 84
u3 2014 9 20 23 30 0.79952 0 56 12.8286 0.026 5.2580061 15  28.822 0.039 J2000 UCAC4 84
u4 2014 9 20 23 30 0.79952 0 56 12.6414 0.011 5.2611872 15  40.274 0.015 J2000 UCAC4 84
u2 2014 9 29 22 53 0.38832 0 54 55.5112 0.158 5.1199  7  11.64 0.238 J2000 UCAC4 84
u3 2014 9 29 22 53 0.38832 0 54 54.5978 0.027 5.1206911  7  14.488 0.045 J2000 UCAC4 84
u4 2014 9 29 22 53 0.38832 0 54 56.918 0.028 5.114675  6  52.83 0.024 J2000 UCAC4 84
u4 2014 9 30 22 51 0.23588 0 54 47.6518 0.017 5.1043711  6  15.736 0.043 J2000 UCAC4 84
u1 2014 10 3 22 38 0.37202 0 54 20.3624 0.202 5.0503772  3  1.358 0.205 J2000 UCAC4 84
u2 2014 10 3 22 38 0.37202 0 54 19.986 0.117 5.0574194  3  26.71 0.236 J2000 UCAC4 84
u3 2014 10 3 22 38 0.37202 0 54 20.8088 0.024 5.0458144  2  44.932 0.027 J2000 UCAC4 84
u4 2014 10 3 22 38 0.37202 0 54 19.0606 0.02 5.0640583  3  50.61 0.017 J2000 UCAC4 84
u3 2014 10 7 22 23 0.99081 0 53 43.3394 0.034 4.9989244 59  56.128 0.061 J2000 UCAC4 84
u4 2014 10 7 22 23 0.99081 0 53 43.231 0.075 4.9847378 59  5.056 0.088 J2000 UCAC4 84
u3 2014 10 15 21 46 0.35564 0 52 32.3098 0.018 4.87564 52  32.304 0.021 J2000 UCAC4 84
u4 2014 10 15 21 46 0.35564 0 52 32.543 0.036 4.8776183 52  39.426 0.027 J2000 UCAC4 84
u1 2014 11 17 19 37 0.97031 0 48 18.1188 0.041 4.4313389 25  52.82 0.117 J2000 UCAC4 84
u4 2014 11 17 19 37 0.97031 0 48 17.6506 0.006 4.4267033 25  36.132 0.015 J2000 UCAC4 84
u2 2014 11 18 19 31 0.65339 0 48 12.029 0.066 4.4300172 25  48.062 0.023 J2000 UCAC4 84
u3 2014 11 18 19 31 0.65339 0 48 12.676 0.023 4.4302306 25  48.83 0.011 J2000 UCAC4 84
u4 2014 11 18 19 31 0.65339 0 48 12.397 0.023 4.4141989 24  51.116 0.022 J2000 UCAC4 84
u3 2014 11 29 18 48 0.63178 0 47 16.688 0.037 4.3416478 20  29.932 0.038 J2000 UCAC4 84
u4 2014 11 29 18 48 0.63178 0 47 16.4624 0.05 4.3346272 20  4.658 0.034 J2000 UCAC4 84
u3 2014 12 25 17 6 0.54619 0 46 30.8968 0.026 4.2792144 16  45.172 0.03 J2000 UCAC4 84
u4 2014 12 25 17 6 0.54619 0 46 30.4582 0.03 4.2765978 16  35.752 0.014 J2000 UCAC4 84
u2 2015 8 24 1 38 0.03305 1 14 42.2198 0.187 7.1913233 11  28.764 0.087 J2000 UCAC4 84
u3 2015 8 24 1 38 0.03305 1 14 43.7292 0.071 7.1918772 11  30.758 0.092 J2000 UCAC4 84
u3 2015 8 25 1 31 0.89469 1 14 38.00667 0.058 7.1870787 11  13.48333 0.051 J2000 UCAC4 84
u4 2015 8 25 1 31 0.89469 1 14 36.33867 0.079 7.1830843 10  59.10333 0.035 J2000 UCAC4 84
u1 2015 8 26 1 34 0.06004 1 14 32.5514 0.08 7.1738722 10  25.94 0.132 J2000 UCAC4 84
u2 2015 8 26 1 34 0.06004 1 14 33.3982 0.13 7.1664006  9  59.042 0.081 J2000 UCAC4 84
u3 2015 8 26 1 34 0.06004 1 14 32.0614 0.046 7.1782372 10  41.654 0.07 J2000 UCAC4 84
u4 2015 8 26 1 34 0.06004 1 14 31.335 0.022 7.1688528 10  7.87 0.065 J2000 UCAC4 84
u2 2015 8 30 1 16 0.36117 1 14 11.3672 0.097 7.1273561  7  38.482 0.139 J2000 UCAC4 84
u3 2015 8 30 1 16 0.36117 1 14 11.2878 0.038 7.12345  7  24.42 0.017 J2000 UCAC4 84
u4 2015 8 30 1 16 0.36117 1 14 11.8822 0.06 7.12149  7  17.364 0.096 J2000 UCAC4 84
u1 2015 8 31 1 7 0.7553 1 14 4.8788 0.243 7.1254128  7  31.486 0.194 J2000 UCAC4 84
u3 2015 8 31 1 7 0.7553 1 14 6.0818 0.049 7.1158833  6  57.18 0.06 J2000 UCAC4 84
u4 2015 8 31 1 7 0.7553 1 14 6.4882 0.03 7.1145094  6  52.234 0.027 J2000 UCAC4 84
u3 2015 9 2 1 3 0.22774 1 13 53.5962 0.026 7.1060872  6  21.914 0.049 J2000 UCAC4 84
u4 2015 9 2 1 3 0.22774 1 13 54.29 0.032 7.1034417  6  12.39 0.049 J2000 UCAC4 84
u3 2015 9 6 1 2 0.42268 1 13 26.2048 0.032 7.0526178  3  9.424 0.079 J2000 UCAC4 84
u4 2015 9 6 1 2 0.84991 1 13 25.93775 0.02 7.0659174  3  57.3025 0.055 J2000 UCAC4 84
u1 2015 9 11 0 22 0.54035 1 12 51.9558 0.126 6.9935644 59  36.832 0.285 J2000 UCAC4 84
u2 2015 9 11 0 22 0.54035 1 12 52.3154 0.039 6.9908661 59  27.118 0.05 J2000 UCAC4 84
u3 2015 9 11 0 22 0.54035 1 12 52.706 0.017 7.0025217  0  9.078 0.052 J2000 UCAC4 84
u4 2015 9 11 0 22 0.54035 1 12 52.2706 0.013 6.9849928 59  5.974 0.036 J2000 UCAC4 84
u3 2015 9 12 0 20 0.29124 1 12 44.5282 0.044 6.9919544 59  31.036 0.04 J2000 UCAC4 84
u4 2015 9 12 0 20 0.29124 1 12 45.63 0.046 6.9720811 58  19.492 0.045 J2000 UCAC4 84
u1 2015 9 17 23 52 0.86405 1 11 58.3204 0.08 6.9069133 54  24.888 0.076 J2000 UCAC4 84
u2 2015 9 17 23 52 0.86405 1 11 58.1066 0.149 6.9072833 54  26.22 0.055 J2000 UCAC4 84
u3 2015 9 17 23 52 0.86405 1 11 59.9564 0.014 6.901095 54  3.942 0.023 J2000 UCAC4 84
u4 2015 9 17 23 52 0.86405 1 11 58.577 0.018 6.9155933 54  56.136 0.01 J2000 UCAC4 84
u4 2015 9 18 23 51 0.44241 1 11 49.8676 0.021 6.9015439 54  5.558 0.025 J2000 UCAC4 84
u3 2015 9 19 23 50 0.98145 1 11 42.861 0.034 6.8841917 53  3.09 0.041 J2000 UCAC4 84
u4 2015 9 19 23 50 0.98145 1 11 41.2608 0.031 6.8850239 53  6.086 0.052 J2000 UCAC4 84
u3 2015 9 24 23 43 0.05929 1 11 1.229 0.033 6.7969361 47  48.97 0.02 J2000 UCAC4 84
u4 2015 9 24 23 43 0.05929 1 11 1.329 0.033 6.7940056 47  38.42 0.014 J2000 UCAC4 84
u3 2015 9 26 23 31 0.70977 1 10 44.9912 0.081 6.7748361 46  29.41 0.024 J2000 UCAC4 84
u2 2015 10 3 22 51 0.41888 1 9 42.1468 0.109 6.6771661 40  37.798 0.072 J2000 UCAC4 84
u3 2015 10 3 22 51 0.41888 1 9 42.8906 0.06 6.6634317 39  48.354 0.038 J2000 UCAC4 84
u4 2015 10 3 22 51 0.41888 1 9 40.8756 0.066 6.6782872 40  41.834 0.038 J2000 UCAC4 84
u2 2015 10 13 22 7 0.6777 1 8 11.88567 0.077 6.5147083 30  52.95 0.105 J2000 UCAC4 84
u3 2015 10 13 22 7 0.09766 1 8 13.2168 0.052 6.5148311 30  53.392 0.073 J2000 UCAC4 84
u4 2015 10 13 22 7 0.09766 1 8 12.5662 0.035 6.5282756 31  41.792 0.038 J2000 UCAC4 84
u3 2015 10 8 22 25 0.99614 1 8 56.494 0.065 6.6029233 36  10.524 0.026 J2000 UCAC4 84
u4 2015 10 8 22 25 0.99614 1 8 58.147 0.041 6.5843572 35  3.686 0.015 J2000 UCAC4 84
u2 2015 10 20 21 45 0.08248 1 7 8.4292 0.045 6.4171244 25  1.648 0.065 J2000 UCAC4 84
u3 2015 10 20 21 45 0.08248 1 7 9.137 0.024 6.4043567 24  15.684 0.021 J2000 UCAC4 84
u4 2015 10 20 21 45 0.08248 1 7 8.6844 0.018 6.4028244 24  10.168 0.023 J2000 UCAC4 84
u2 2015 10 28 21 4 0.54792 1 5 58.813 0.023 6.3006889 18  2.48 0.044 J2000 UCAC4 84
u3 2015 10 28 21 4 0.54792 1 5 58.6724 0.023 6.2891222 17  20.84 0.024 J2000 UCAC4 84
u4 2015 10 28 21 4 0.54792 1 5 58.5366 0.018 6.3069733 18  25.104 0.019 J2000 UCAC4 84
u1 2015 10 30 21 0 0.33751 1 5 41.7202 0.118 6.26955 16  10.38 0.126 J2000 UCAC4 84
u2 2015 10 30 21 0 0.33751 1 5 42.384 0.042 6.2619206 15  42.914 0.039 J2000 UCAC4 84
u3 2015 10 30 21 0 0.33751 1 5 43.158 0.031 6.2606694 15  38.41 0.045 J2000 UCAC4 84
