sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u4  2007  12  20  15  45  0.0022  23  5  45.619  0.028  -6  37   25.33  0.036  J2000  UCAC4  84
u3  2007  9  30  20  53  0.269  23  8  54.491  0.035  -6  21   43.578  0.041  J2000  UCAC4  84
u4  2007  9  30  20  53  0.269  23  8  53.418  0.033  -6  20   47.904  0.024  J2000  UCAC4  84
u3  2007  9  30  21  4  0.9351  23  8  54.422  0.018  -6  21   43.96167  0.052  J2000  UCAC4  84
u4  2007  9  30  21  4  0.9351  23  8  53.344  0.047  -6  20   48.15333  0.061  J2000  UCAC4  84
u3  2007  11  4  18  34  0.6225  23  5  19.906  0.007  -6  43   3.685  0.018  J2000  UCAC4  84
u4  2007  11  24  17  29  0.4707  23  4  41.707  0.013  -6  44   59.274  0.031  J2000  UCAC4  84
u2  2008  1  5  14  53  0.6012  23  7  26.104  0.06  6  27   5.782  0.141  J2000  UCAC4  84
u3  2008  1  5  14  53  0.6012  23  7  26.128  0.029  6  27   10.064  0.085  J2000  UCAC4  84
u4  2008  1  5  14  53  0.6012  23  7  25.172  0.061  6  26   11.916  0.027  J2000  UCAC4  84
u4  2008  9  10  22  40  0.1124  23  26  50.991  0.022  4  27   57.258  0.04  J2000  UCAC4  84
u3  2008  9  24  22  9  0.6083  23  24  47.006  0.06  4  40   3.024  0.054  J2000  UCAC4  84
u4  2008  9  24  22  9  0.6083  23  24  47.954  0.023  4  40   53.804  0.043  J2000  UCAC4  84
u3  2008  9  25  21  46  0.355  23  24  38.303  0.02  4  40   45.496  0.042  J2000  UCAC4  84
u4  2008  9  25  21  46  0.355  23  24  39.26  0.02  4  41   32.736  0.031  J2000  UCAC4  84
u3  2008  10  5  21  5  0.7825  23  23  15.704  0.047  4  49   31  0.018  J2000  UCAC4  84
u4  2008  10  5  21  5  0.7825  23  23  16.766  0.038  4  50   28.872  0.042  J2000  UCAC4  84
u4  2008  10  7  20  57  0.7704  23  23  1.222  0.069  4  52   7.744  0.09  J2000  UCAC4  84
u2  2008  11  17  18  9  0.6788  23  19  29.266  0.155  5  12   13.798  0.13  J2000  UCAC4  84
u3  2008  11  17  18  9  0.6788  23  19  29.04  0.032  5  12   2.894  0.058  J2000  UCAC4  84
u4  2008  11  17  18  9  0.6788  23  19  30.169  0.044  5  13   2.69  0.091  J2000  UCAC4  84
u2  2009  8  16  0  43  0.5336  23  45  29.001  0.07  2  26   33.984  0.112  J2000  UCAC4  84
u4  2009  8  21  0  23  0.6613  23  44  51.823  0.049  2  29   48.266  0.052  J2000  UCAC4  84
u1  2009  8  22  0  17  0.9333  23  44  44.81  0.218  2  30   54.388  0.106  J2000  UCAC4  84
u3  2009  8  22  0  17  0.9333  23  44  44.848  0.029  2  30   41.596  0.036  J2000  UCAC4  84
u4  2009  9  2  23  29  0.7881  23  43  7.899  0.025  2  41   6.05  0.049  J2000  UCAC4  84
u2  2009  9  17  22  32  0.2374  23  40  58.526  0.074  2  56   2.372  0.17  J2000  UCAC4  84
u3  2009  9  17  22  32  0.2374  23  40  57.774  0.022  2  55   16.612  0.039  J2000  UCAC4  84
u4  2009  9  20  22  20  0.769  23  40  32.354  0.018  2  59   13.44  0.028  J2000  UCAC4  84
u3  2009  9  25  21  51  0.8266  23  39  47.766  0.024  3   2   52.81  0.025  J2000  UCAC4  84
u4  2009  10  6  21  22  0.7388  23  38  15.739  0.057  3  13   41.29  0.056  J2000  UCAC4  84
u1  2009  10  8  21  6  0.3834  23  37  58.628  0.182  3  14   40.138  0.066  J2000  UCAC4  84
u2  2009  10  8  21  6  0.3834  23  37  59.193  0.102  3  15   10.012  0.058  J2000  UCAC4  84
u3  2009  10  8  21  6  0.3834  23  37  59.173  0.034  3  15   15.236  0.032  J2000  UCAC4  84
u3  2009  10  30  19  41  0.9513  23  35  26.83  0.063  3  30   9.292  0.09  J2000  UCAC4  84
u4  2009  10  30  19  41  0.9513  23  35  27.573  0.054  3  31   4.884  0.061  J2000  UCAC4  84
u3  2009  10  9  21  4  0.6545  23  37  51.474  0.072  3  16   12.066  0.079  J2000  UCAC4  84
u2  2009  10  31  19  30  0.5921  23  35  21.415  0.16  3  30   49.464  0.1  J2000  UCAC4  84
u3  2009  10  31  19  30  0.5921  23  35  21.175  0.035  3  30   37.928  0.017  J2000  UCAC4  84
u4  2009  10  31  19  30  0.5921  23  35  22.395  0.032  3  31   46.348  0.045  J2000  UCAC4  84
u3  2009  11  3  19  18  0.5243  23  35  6.435  0.034  3  33   1.574  0.038  J2000  UCAC4  84
u4  2009  11  3  19  18  0.5243  23  35  6.743  0.038  3  32   57.918  0.053  J2000  UCAC4  84
u3  2009  11  5  19  14  0.065  23  34  57.145  0.039  3  34   3.106  0.05  J2000  UCAC4  84
u4  2009  11  5  19  14  0.065  23  34  56.462  0.071  3  33   19.718  0.07  J2000  UCAC4  84
u4  2009  12  16  16  32  0.5631  23  34  12.82  0.045  3  36   8.648  0.098  J2000  UCAC4  84
u3  2009  12  17  16  26  0.4302  23  34  16.286  0.03  3  36   37.864  0.047  J2000  UCAC4  84
u4  2009  12  17  16  26  0.4302  23  34  15.375  0.062  3  35   37.762  0.076  J2000  UCAC4  84
u1  2009  12  19  16  18  0.7858  23  34  22.415  0.116  3  35   40.428  0.189  J2000  UCAC4  84
u3  2009  12  19  16  18  0.7858  23  34  22.654  0.009  3  35   46.814  0.086  J2000  UCAC4  84
u4  2009  12  19  16  18  0.7858  23  34  21.446  0.023  3  34   55.666  0.027  J2000  UCAC4  84
u4  2010  8  17  0  53  0.572  0  0  20.686  0.048  0  48   9.524  0.054  J2000  UCAC4  84
u2  2010  8  20  0  42  0.9212  0  0  1.279  0.052  0  51   21.63  0.097  J2000  UCAC4  84
u3  2010  8  20  0  42  0.9212  0  0  1.614  0.016  0  51   27.938  0.019  J2000  UCAC4  84
u4  2010  8  20  0  42  0.9212  0  0  0.059  0.026  0  50   44.782  0.044  J2000  UCAC4  84
u1  2010  9  9  23  13  0.3586  23  57  16.142  0.112  -1   9   25.62  0.035  J2000  UCAC4  84
u2  2010  9  9  23  13  0.3586  23  57  16.418  0.036  -1   9   30.33  0.162  J2000  UCAC4  84
u3  2010  9  9  23  13  0.3586  23  57  15.451  0.025  -1   8   43.354  0.028  J2000  UCAC4  84
u3  2010  10  6  21  30  0.5608  23  53  20.168  0.054  -1  34   9.588  0.042  J2000  UCAC4  84
u2  2010  10  10  21  15  0.2001  23  52  47.288  0.278  -1  37   48.574  0.231  J2000  UCAC4  84
u3  2010  10  10  21  15  0.2001  23  52  48.29  0.014  -1  38   34.688  0.049  J2000  UCAC4  84
u4  2010  10  10  21  15  0.2001  23  52  46.864  0.016  -1  37   26.256  0.078  J2000  UCAC4  84
u4  2010  10  10  21  15  0.2001  23  52  46.864  0.016  -1  37   26.256  0.078  J2000  UCAC4  84
u4  2010  1  1  15  39  0.3256  23  35  19.627  0.087  3  28   4.002  0.072  J2000  UCAC4  84
u2  2010  10  18  20  42  0.7849  23  51  44.616  0.164  1  44   26.03  0.1  J2000  UCAC4  84
u3  2010  10  18  20  42  0.7849  23  51  45.34  0.033  1  45   13.328  0.042  J2000  UCAC4  84
u4  2010  10  18  20  42  0.7849  23  51  45.728  0.044  1  45   14.014  0.043  J2000  UCAC4  84
u3  2011  10  9  21  28  0.8148  0  8  1.408  0.03  0   1   31.926  0.024  J2000  UCAC4  84
u4  2011  10  9  21  28  0.8148  0  8  0.515  0.016  0   2   29.852  0.023  J2000  UCAC4  84
u3  2011  10  5  21  42  0.5021  0  8  35.611  0.033  0   5   58.402  0.03  J2000  UCAC4  84
u2  2011  9  4  23  50  0.6402  0  13  3.588  0.067  0  34   13.312  0.082  J2000  UCAC4  84
u3  2011  9  4  23  50  0.6402  0  13  3.288  0.024  0  34   11.634  0.049  J2000  UCAC4  84
