name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
1	u4        	5	2007.968921237	2007	12	20.6562515	346.4400775	23	5	45.6186		-6.6237028	-6	37 	25.33		-0.013	0.03	0.012	0.016	0.028	0.036
2	u3        	5	2007.7475899334	2007	9	30.87032569	347.2270475	23	8	54.4914		-6.362105	-6	21 	43.578		0.083	-0.075	0.016	0.018	0.035	0.041
3	u4        	5	2007.7475899334	2007	9	30.87032569	347.222575	23	8	53.418		-6.34664	-6	20 	47.904		0.022	-0.062	0.015	0.011	0.033	0.024
4	u3        	6	2007.7476121292	2007	9	30.87842716	347.2267576	23	8	54.42183	-6.3622116	-6	21 	43.96167	0.041	-0.054	0.007	0.021	0.018	0.052
5	u4        	6	2007.7476121292	2007	9	30.87842716	347.2222681	23	8	53.34433	-6.3467093	-6	20 	48.15333	-0.058	-0.027	0.019	0.025	0.047	0.061
6	u3        	2	2007.8432165573	2007	11	4.7740434	346.3329417	23	5	19.906		-6.7176903	-6	43 	3.685		-0.069	0.006	0.005	0.013	0.007	0.018
7	u4        	5	2007.8978871208	2007	11	24.72879907	346.1737783	23	4	41.7068		-6.7497983	-6	44 	59.274		0.013	-0.045	0.006	0.014	0.013	0.031
8	u2        	5	2008.0126244709	2008	1	5.62055637	346.8587675	23	7	26.1042		-6.4516061	6	27 	5.782		0.069	-0.388	0.027	0.063	0.06	0.141
9	u3        	5	2008.0126244709	2008	1	5.62055637	346.8588675	23	7	26.1282		-6.4527956	6	27 	10.064		-0.014	0.091	0.013	0.038	0.029	0.085
10	u4        	5	2008.0126244709	2008	1	5.62055637	346.8548817	23	7	25.1716		-6.4366433	6	26 	11.916		0.097	-0.089	0.027	0.012	0.061	0.027
11	u4        	5	2008.6938374931	2008	9	10.94452248	351.7124633	23	26	50.9912		-4.465905	4	27 	57.258		0.089	-0.021	0.01	0.018	0.022	0.04
12	u3        	5	2008.7320309812	2008	9	24.92333911	351.1958567	23	24	47.0056		-4.6675067	4	40 	3.024		-0.204	-0.309	0.027	0.024	0.06	0.054
13	u4        	5	2008.7320309812	2008	9	24.92333911	351.1998083	23	24	47.954		-4.6816122	4	40 	53.804		0.006	-0.021	0.01	0.019	0.023	0.043
14	u3        	5	2008.7347191009	2008	9	25.90719094	351.1595967	23	24	38.3032		-4.6793044	4	40 	45.496		-0.005	-0.023	0.009	0.019	0.02	0.042
15	u4        	5	2008.7347191009	2008	9	25.90719094	351.1635825	23	24	39.2598		-4.6924267	4	41 	32.736		-0.021	-0.018	0.009	0.014	0.02	0.031
16	u3        	5	2008.7619645236	2008	10	5.87901564	350.8154325	23	23	15.7038		-4.8252778	4	49 	31		-0.045	0.062	0.021	0.008	0.047	0.018
17	u4        	5	2008.7619645236	2008	10	5.87901564	350.8198583	23	23	16.766		-4.8413533	4	50 	28.872		-0.023	0.039	0.017	0.019	0.038	0.042
18	u4        	5	2008.7674138025	2008	10	7.8734517	350.7550908	23	23	1.2218		-4.8688178	4	52 	7.744		-0.003	-0.009	0.031	0.04	0.069	0.09
19	u2        	5	2008.8791167252	2008	11	17.75672141	349.8719433	23	19	29.2664		-5.2038328	5	12 	13.798		0.316	-0.176	0.069	0.058	0.155	0.13
20	u3        	5	2008.8791167252	2008	11	17.75672141	349.871		23	19	29.04		-5.2008039	5	12 	2.894		-0.072	0.06	0.014	0.026	0.032	0.058
21	u4        	5	2008.8791167252	2008	11	17.75672141	349.8757058	23	19	30.1694		-5.2174139	5	13 	2.69		-0.11	0.234	0.02	0.041	0.044	0.091
22	u2        	5	2009.6220006346	2009	8	16.03023165	356.3708383	23	45	29.0012		-2.4427733	2	26 	33.984		-0.055	-0.031	0.031	0.05	0.07	0.112
23	u4        	5	2009.635661456	2009	8	21.01643145	356.2159275	23	44	51.8226		-2.4967406	2	29 	48.266		0.018	-0.056	0.022	0.023	0.049	0.052
