"name","count","yf","y","m","d","ra_deg","ra_h","ra_m","ra_s","de_deg","de_d","de_m","de_s","oc_ra","oc_de","oc_ra_eps","oc_de_eps","oc_ra_sigma","oc_de_sigma"
"u4        ",5,2007.968921237,2007,12,20.6562515,346.4400775,23,5,45.6186,-6.6237027777778,-6,"37 ",25.33,-0.013,0.03,0.012,0.016,0.028,0.036
"u3        ",5,2007.7475899334,2007,9,30.87032569,347.2270475,23,8,54.4914,-6.362105,-6,"21 ",43.578,0.083,-0.075,0.016,0.018,0.035,0.041
"u4        ",5,2007.7475899334,2007,9,30.87032569,347.222575,23,8,53.418,-6.34664,-6,"20 ",47.904,0.022,-0.062,0.015,0.011,0.033,0.024
"u3        ",6,2007.7476121292,2007,9,30.87842716,347.22675763889,23,8,54.42183,-6.3622115740741,-6,"21 ",43.96167,0.041,-0.054,0.007,0.021,0.018,0.052
"u4        ",6,2007.7476121292,2007,9,30.87842716,347.22226805556,23,8,53.34433,-6.3467092592593,-6,"20 ",48.15333,-0.058,-0.027,0.019,0.025,0.047,0.061
"u3        ",2,2007.8432165573,2007,11,4.7740434,346.33294166667,23,5,19.906,-6.7176902777778,-6,"43 ",3.685,-0.069,0.006,0.005,0.013,0.007,0.018
"u4        ",5,2007.8978871208,2007,11,24.72879907,346.17377833333,23,4,41.7068,-6.7497983333333,-6,"44 ",59.274,0.013,-0.045,0.006,0.014,0.013,0.031
"u2        ",5,2008.0126244709,2008,1,5.62055637,346.8587675,23,7,26.1042,-6.4516061111111,6,"27 ",5.782,0.069,-0.388,0.027,0.063,0.06,0.141
"u3        ",5,2008.0126244709,2008,1,5.62055637,346.8588675,23,7,26.1282,-6.4527955555556,6,"27 ",10.064,-0.014,0.091,0.013,0.038,0.029,0.085
"u4        ",5,2008.0126244709,2008,1,5.62055637,346.85488166667,23,7,25.1716,-6.4366433333333,6,"26 ",11.916,0.097,-0.089,0.027,0.012,0.061,0.027
"u4        ",5,2008.6938374931,2008,9,10.94452248,351.71246333333,23,26,50.9912,-4.465905,4,"27 ",57.258,0.089,-0.021,0.01,0.018,0.022,0.04
"u3        ",5,2008.7320309812,2008,9,24.92333911,351.19585666667,23,24,47.0056,-4.6675066666667,4,"40 ",3.024,-0.204,-0.309,0.027,0.024,0.06,0.054
"u4        ",5,2008.7320309812,2008,9,24.92333911,351.19980833333,23,24,47.954,-4.6816122222222,4,"40 ",53.804,0.006,-0.021,0.01,0.019,0.023,0.043
"u3        ",5,2008.7347191009,2008,9,25.90719094,351.15959666667,23,24,38.3032,-4.6793044444444,4,"40 ",45.496,-0.005,-0.023,0.009,0.019,0.02,0.042
"u4        ",5,2008.7347191009,2008,9,25.90719094,351.1635825,23,24,39.2598,-4.6924266666667,4,"41 ",32.736,-0.021,-0.018,0.009,0.014,0.02,0.031
"u3        ",5,2008.7619645236,2008,10,5.87901564,350.8154325,23,23,15.7038,-4.8252777777778,4,"49 ",31,-0.045,0.062,0.021,0.008,0.047,0.018
"u4        ",5,2008.7619645236,2008,10,5.87901564,350.81985833333,23,23,16.766,-4.8413533333333,4,"50 ",28.872,-0.023,0.039,0.017,0.019,0.038,0.042
"u4        ",5,2008.7674138025,2008,10,7.8734517,350.75509083333,23,23,1.2218,-4.8688177777778,4,"52 ",7.744,-0.003,-0.009,0.031,0.04,0.069,0.09
"u2        ",5,2008.8791167252,2008,11,17.75672141,349.87194333333,23,19,29.2664,-5.2038327777778,5,"12 ",13.798,0.316,-0.176,0.069,0.058,0.155,0.13
"u3        ",5,2008.8791167252,2008,11,17.75672141,349.871,23,19,29.04,-5.2008038888889,5,"12 ",2.894,-0.072,0.06,0.014,0.026,0.032,0.058
"u4        ",5,2008.8791167252,2008,11,17.75672141,349.87570583333,23,19,30.1694,-5.2174138888889,5,"13 ",2.69,-0.11,0.234,0.02,0.041,0.044,0.091
"u2        ",5,2009.6220006346,2009,8,16.03023165,356.37083833333,23,45,29.0012,-2.4427733333333,2,"26 ",33.984,-0.055,-0.031,0.031,0.05,0.07,0.112
"u4        ",5,2009.635661456,2009,8,21.01643145,356.2159275,23,44,51.8226,-2.4967405555556,2,"29 ",48.266,0.018,-0.056,0.022,0.023,0.049,0.052
"u1        ",5,2009.6383902841,2009,8,22.01245371,356.18670833333,23,44,44.81,-2.5151077777778,2,"30 ",54.388,-0.295,-0.31,0.098,0.047,0.218,0.106
"u3        ",5,2009.6383902841,2009,8,22.01245371,356.18686833333,23,44,44.8484,-2.5115544444444,2,"30 ",41.596,0.009,-0.085,0.013,0.016,0.029,0.036
"u4        ",5,2009.6711753959,2009,9,2.97901951,355.78291416667,23,43,7.8994,-2.6850138888889,2,"41 ",6.05,0.038,-0.129,0.011,0.022,0.025,0.049
